id,name,url
201808.0,Clank!: A Deck-Building Adventure,https://boardgamegeek.com/boardgame/201808.0
72125.0,Eclipse: New Dawn for the Galaxy,https://boardgamegeek.com/boardgame/72125.0
159675.0,Fields of Arle,https://boardgamegeek.com/boardgame/159675.0
191189.0,Aeon's End,https://boardgamegeek.com/boardgame/191189.0
371942.0,The White Castle,https://boardgamegeek.com/boardgame/371942.0
332772.0,Revive,https://boardgamegeek.com/boardgame/332772.0
110327.0,Lords of Waterdeep,https://boardgamegeek.com/boardgame/110327.0
322289.0,Darwin's Journey,https://boardgamegeek.com/boardgame/322289.0
414317.0,Harmonies,https://boardgamegeek.com/boardgame/414317.0
93.0,El Grande,https://boardgamegeek.com/boardgame/93.0
229853.0,Teotihuacan: City of Gods,https://boardgamegeek.com/boardgame/229853.0
390092.0,Ticket to Ride Legacy: Legends of the West,https://boardgamegeek.com/boardgame/390092.0
317985.0,Beyond the Sun,https://boardgamegeek.com/boardgame/317985.0
25613.0,Through the Ages: A Story of Civilization,https://boardgamegeek.com/boardgame/25613.0
366161.0,Wingspan Asia,https://boardgamegeek.com/boardgame/366161.0
291453.0,SCOUT,https://boardgamegeek.com/boardgame/291453.0
256916.0,Concordia Venus,https://boardgamegeek.com/boardgame/256916.0
62219.0,Dominant Species,https://boardgamegeek.com/boardgame/62219.0
279537.0,The Search for Planet X,https://boardgamegeek.com/boardgame/279537.0
68448.0,7 Wonders,https://boardgamegeek.com/boardgame/68448.0
380607.0,Great Western Trail: New Zealand,https://boardgamegeek.com/boardgame/380607.0
121921.0,Robinson Crusoe: Adventures on the Cursed Island,https://boardgamegeek.com/boardgame/121921.0
171623.0,The Voyages of Marco Polo,https://boardgamegeek.com/boardgame/171623.0
418059.0,SETI: Search for Extraterrestrial Intelligence,https://boardgamegeek.com/boardgame/418059.0
277659.0,Final Girl,https://boardgamegeek.com/boardgame/277659.0
225694.0,Decrypto,https://boardgamegeek.com/boardgame/225694.0
240980.0,Blood on the Clocktower,https://boardgamegeek.com/boardgame/240980.0
155821.0,Inis,https://boardgamegeek.com/boardgame/155821.0
364073.0,Splendor Duel,https://boardgamegeek.com/boardgame/364073.0
163068.0,Trickerion: Legends of Illusion,https://boardgamegeek.com/boardgame/163068.0
37111.0,Battlestar Galactica: The Board Game,https://boardgamegeek.com/boardgame/37111.0
310873.0,Carnegie,https://boardgamegeek.com/boardgame/310873.0
236457.0,Architects of the West Kingdom,https://boardgamegeek.com/boardgame/236457.0
264220.0,Tainted Grail: The Fall of Avalon,https://boardgamegeek.com/boardgame/264220.0
337627.0,Voidfall,https://boardgamegeek.com/boardgame/337627.0
217372.0,The Quest for El Dorado,https://boardgamegeek.com/boardgame/217372.0
122515.0,Keyflower,https://boardgamegeek.com/boardgame/122515.0
42.0,Tigris & Euphrates,https://boardgamegeek.com/boardgame/42.0
170042.0,Raiders of the North Sea,https://boardgamegeek.com/boardgame/170042.0
271055.0,Dwellings of Eldervale,https://boardgamegeek.com/boardgame/271055.0
40834.0,Dominion: Intrigue,https://boardgamegeek.com/boardgame/40834.0
18602.0,Caylus,https://boardgamegeek.com/boardgame/18602.0
203993.0,Lorenzo il Magnifico,https://boardgamegeek.com/boardgame/203993.0
73439.0,Troyes,https://boardgamegeek.com/boardgame/73439.0
12.0,Ra,https://boardgamegeek.com/boardgame/12.0
146021.0,Eldritch Horror,https://boardgamegeek.com/boardgame/146021.0
359871.0,Arcs,https://boardgamegeek.com/boardgame/359871.0
172386.0,Mombasa,https://boardgamegeek.com/boardgame/172386.0
269385.0,The Lord of the Rings: Journeys in Middle-Earth,https://boardgamegeek.com/boardgame/269385.0
310100.0,Nemesis: Lockdown,https://boardgamegeek.com/boardgame/310100.0
12493.0,Twilight Imperium: Third Edition,https://boardgamegeek.com/boardgame/12493.0
163412.0,Patchwork,https://boardgamegeek.com/boardgame/163412.0
36218.0,Dominion,https://boardgamegeek.com/boardgame/36218.0
4098.0,Age of Steam,https://boardgamegeek.com/boardgame/4098.0
102680.0,Trajan,https://boardgamegeek.com/boardgame/102680.0
144733.0,Russian Railroads,https://boardgamegeek.com/boardgame/144733.0
218417.0,Aeon's End: War Eternal,https://boardgamegeek.com/boardgame/218417.0
43015.0,Hansa Teutonica,https://boardgamegeek.com/boardgame/43015.0
180263.0,The 7th Continent,https://boardgamegeek.com/boardgame/180263.0
227935.0,Wonderland's War,https://boardgamegeek.com/boardgame/227935.0
205896.0,Rising Sun,https://boardgamegeek.com/boardgame/205896.0
175640.0,Vinhos: Deluxe Edition,https://boardgamegeek.com/boardgame/175640.0
410201.0,Wyrmspan,https://boardgamegeek.com/boardgame/410201.0
196340.0,Yokohama,https://boardgamegeek.com/boardgame/196340.0
198928.0,Iberia,https://boardgamegeek.com/boardgame/198928.0
233371.0,Clank! In! Space!: A Deck-Building Adventure,https://boardgamegeek.com/boardgame/233371.0
175155.0,Forbidden Stars,https://boardgamegeek.com/boardgame/175155.0
178900.0,Codenames,https://boardgamegeek.com/boardgame/178900.0
254640.0,Just One,https://boardgamegeek.com/boardgame/254640.0
172287.0,Champions of Midgard,https://boardgamegeek.com/boardgame/172287.0
325494.0,ISS Vanguard,https://boardgamegeek.com/boardgame/325494.0
132531.0,Roll for the Galaxy,https://boardgamegeek.com/boardgame/132531.0
266524.0,PARKS,https://boardgamegeek.com/boardgame/266524.0
220877.0,Rajas of the Ganges,https://boardgamegeek.com/boardgame/220877.0
30549.0,Pandemic,https://boardgamegeek.com/boardgame/30549.0
304783.0,Hadrian's Wall,https://boardgamegeek.com/boardgame/304783.0
118048.0,Targi,https://boardgamegeek.com/boardgame/118048.0
189932.0,Tyrants of the Underdark,https://boardgamegeek.com/boardgame/189932.0
263918.0,Cartographers,https://boardgamegeek.com/boardgame/263918.0
262712.0,Res Arcana,https://boardgamegeek.com/boardgame/262712.0
396790.0,Nucleum,https://boardgamegeek.com/boardgame/396790.0
147020.0,Star Realms,https://boardgamegeek.com/boardgame/147020.0
281259.0,The Isle of Cats,https://boardgamegeek.com/boardgame/281259.0
463.0,Magic: The Gathering,https://boardgamegeek.com/boardgame/463.0
274364.0,Watergate,https://boardgamegeek.com/boardgame/274364.0
161970.0,Alchemists,https://boardgamegeek.com/boardgame/161970.0
271324.0,It's a Wonderful World,https://boardgamegeek.com/boardgame/271324.0
14996.0,Ticket to Ride: Europe,https://boardgamegeek.com/boardgame/14996.0
268864.0,Undaunted: Normandy,https://boardgamegeek.com/boardgame/268864.0
235802.0,Too Many Bones: Undertow,https://boardgamegeek.com/boardgame/235802.0
77423.0,The Lord of the Rings: The Card Game,https://boardgamegeek.com/boardgame/77423.0
34635.0,Stone Age,https://boardgamegeek.com/boardgame/34635.0
308765.0,Praga Caput Regni,https://boardgamegeek.com/boardgame/308765.0
258779.0,Planet Unknown,https://boardgamegeek.com/boardgame/258779.0
127023.0,Kemet,https://boardgamegeek.com/boardgame/127023.0
2511.0,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,https://boardgamegeek.com/boardgame/2511.0
209418.0,Dominion (Second Edition),https://boardgamegeek.com/boardgame/209418.0
249259.0,War Chest,https://boardgamegeek.com/boardgame/249259.0
328871.0,Terraforming Mars: Ares Expedition,https://boardgamegeek.com/boardgame/328871.0
233398.0,Endeavor: Age of Sail,https://boardgamegeek.com/boardgame/233398.0
148949.0,Istanbul,https://boardgamegeek.com/boardgame/148949.0
146652.0,Legendary Encounters: An Alien Deck Building Game,https://boardgamegeek.com/boardgame/146652.0
296151.0,Viscounts of the West Kingdom,https://boardgamegeek.com/boardgame/296151.0
265188.0,Glen More II: Chronicles,https://boardgamegeek.com/boardgame/265188.0
294484.0,Unmatched: Cobble & Fog,https://boardgamegeek.com/boardgame/294484.0
283948.0,Marco Polo II: In the Service of the Khan,https://boardgamegeek.com/boardgame/283948.0
103885.0,Star Wars: X-Wing Miniatures Game,https://boardgamegeek.com/boardgame/103885.0
244522.0,That's Pretty Clever!,https://boardgamegeek.com/boardgame/244522.0
329082.0,Radlands,https://boardgamegeek.com/boardgame/329082.0
359609.0,Arkham Horror: The Card Game (Revised Edition),https://boardgamegeek.com/boardgame/359609.0
82222.0,Xia: Legends of a Drift System,https://boardgamegeek.com/boardgame/82222.0
54043.0,Jaipur,https://boardgamegeek.com/boardgame/54043.0
233867.0,Welcome To...,https://boardgamegeek.com/boardgame/233867.0
350184.0,Earth,https://boardgamegeek.com/boardgame/350184.0
271896.0,Star Wars: Outer Rim,https://boardgamegeek.com/boardgame/271896.0
339789.0,Welcome to the Moon,https://boardgamegeek.com/boardgame/339789.0
283355.0,Dune,https://boardgamegeek.com/boardgame/283355.0
43111.0,Chaos in the Old World,https://boardgamegeek.com/boardgame/43111.0
9609.0,War of the Ring,https://boardgamegeek.com/boardgame/9609.0
188920.0,This War of Mine: The Board Game,https://boardgamegeek.com/boardgame/188920.0
364011.0,Great Western Trail: Argentina,https://boardgamegeek.com/boardgame/364011.0
10630.0,Memoir '44,https://boardgamegeek.com/boardgame/10630.0
314491.0,Meadow,https://boardgamegeek.com/boardgame/314491.0
